date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,name
2020-10-26T00:00:00,4850,4870,4870,4920,4830,4850,0,56483600,2.75495E+11,10659,23.3,4860,125400,4850,4934800,18462169893,18462169893,18462169893,23001900,6700000,,5030972,24475014180,6,BNI
2020-10-27T00:00:00,4850,4800,4790,4850,4730,4740,-110,88238000,4.21694E+11,23424,22.8,4750,838700,4740,438300,18462169893,18462169893,18462169893,35861600,10043500,,91154,442955963,11,BNI
2020-11-02T00:00:00,4740,4700,4700,4710,4590,4660,-80,72577500,3.38231E+11,19745,22.4,4670,526900,4660,1898900,18462169893,18462169893,18462169893,38696600,13183400,,6301143,29406048700,6,BNI
2020-11-03T00:00:00,4660,4700,4710,4740,4660,4670,10,44974800,2.10354E+11,11498,22.5,4680,329800,4670,812500,18462169893,18462169893,18462169893,35372500,7014000,,415068,1947688180,6,BNI
2020-11-04T00:00:00,4670,4700,4700,4720,4600,4620,-50,35401100,1.6492E+11,12815,22.2,4620,160700,4610,698600,18462169893,18462169893,18462169893,12308500,4868800,,5460,25130260,3,BNI
2020-11-05T00:00:00,4620,4720,4730,4850,4680,4830,210,90281700,4.30923E+11,18584,23.2,4840,724500,4830,2478800,18462169893,18462169893,18462169893,16091300,6580400,,584991,2839578430,7,BNI
2020-11-06T00:00:00,4830,4860,4860,5025,4770,4960,130,120355000,5.92285E+11,29365,23.9,4970,412900,4960,10433400,18462169893,18462169893,18462169893,12977300,25494900,,1821173,8647374620,10,BNI
2020-11-09T00:00:00,4960,5050,5075,5150,5000,5100,140,83367000,4.23468E+11,20785,24.5,5125,4310400,5100,1640900,18462169893,18462169893,18462169893,5087600,6526400,,4993660,25281842560,5,BNI
2020-11-10T00:00:00,5100,5250,5275,5350,5200,5325,225,125532500,6.63376E+11,27969,25.6,5350,5102600,5325,663500,18462169893,18462169893,18462169893,15354400,34174600,,505854,2642654850,6,BNI
2020-11-11T00:00:00,5325,5375,5350,5525,5325,5475,150,107375700,5.84287E+11,30401,26.3,5475,972500,5450,1396100,18462169893,18462169893,18462169893,8458100,24371500,,2390975,12865084980,19,BNI
2020-11-12T00:00:00,5475,5550,5525,5550,5300,5375,-100,66993800,3.61559E+11,24743,25.9,5375,1320100,5350,699600,18462169893,18462169893,18462169893,6988400,10950900,,3032,16644624,6,BNI
2020-11-13T00:00:00,5375,5325,5300,5700,5275,5650,275,99203700,5.49946E+11,22171,27.2,5675,2434000,5650,130600,18462169893,18462169893,18462169893,12229100,14940200,,8750,47062400,2,BNI
2020-11-16T00:00:00,5650,5750,5775,5850,5650,5675,25,86880400,4.9698E+11,25421,27.3,5700,1349800,5675,1620900,18462169893,18462169893,18462169893,24510300,8308700,,77,436331,2,BNI
2020-11-17T00:00:00,5675,5750,5750,5800,5675,5750,75,63441100,3.63824E+11,16367,27.7,5750,2549900,5725,229100,18462169893,18462169893,18462169893,18369300,9371400,,125,717400,3,BNI
2020-11-18T00:00:00,5750,5750,5750,5775,5650,5725,-25,48749700,2.79184E+11,16901,27.5,5750,2463300,5725,117900,18462169893,18462169893,18462169893,18737000,10383800,,3326919,19121535875,12,BNI
2020-11-19T00:00:00,5725,5675,5675,5800,5650,5750,25,61333600,3.5159E+11,14447,27.7,5775,2112700,5750,131200,18462169893,18462169893,18462169893,26900500,13192300,,3041700,17468236500,44,BNI
2020-11-20T00:00:00,5750,5700,5725,5800,5650,5675,-75,53141400,3.03746E+11,20042,27.3,5700,808600,5675,1049400,18462169893,18462169893,18462169893,24640400,8393200,,429066,2460325825,19,BNI
2020-11-23T00:00:00,5675,5675,5700,5975,5625,5900,225,82536100,4.80753E+11,21013,28.4,5900,5333700,5875,2333500,18462169893,18462169893,18462169893,26067000,25986700,,1650353,9565565625,7,BNI
2020-11-24T00:00:00,5900,5975,5975,5975,5900,5950,50,61987700,3.68015E+11,15099,28.6,5950,73700,5925,1432000,18462169893,18462169893,18462169893,32373700,6714500,,300509,1574992350,5,BNI
2020-11-25T00:00:00,5950,6000,6000,6175,6000,6050,100,101206400,6.14928E+11,24856,29.1,6075,1177300,6050,1024800,18462169893,18462169893,18462169893,15743400,31435900,,3581812,21610018900,5,BNI
